color,colorhex,colorcount
blue,#0343df,1047
green,#15b01a,951
red,#e50000,591
purple,#7e1e9c,533
orange,#f97306,473
black,#000000,291
yellow,#ffff14,272
pink,#ff81c0,258
toaster struddle,,191
grey,#929591,143
white,#ffffff,127
dark green,#033500,117
teal,#029386,109
cyan,#00ffff,91
brown,#653700,88
royal,#0c1793,80
navy,#01153e,72
turquoise,#06c2ac,64
maroon,#650021,61
burgundy,#610023,59
royal blue,#0504aa,56
gray,#929591,55
navy blue,#001146,54
crimson,#8c000f,53
chartreuse,#c1f80a,51
silver,#c5c9c7,50
forest,#0b5509,46
gold,#dbb40c,46
cerulean,#0485d1,44
clear,,44
forest green,#06470c,43
aqua,#13eac9,42
mayonnaise,,42
unknown url,,41
blood,#770001,40
lime,#aaff32,39
magenta,#c20078,39
rainbow,,39
sky,#82cafc,37
violet,#9a0eea,37
periwinkle,#8e82fe,35
indigo,#380282,31
lime green,#89fe05,30
sky blue,#75bbfd,28
emerald,#01a049,27
dark blue,#00035b,27
sparkle,,27
olive,#6e750e,26
seafoam,#80f9ad,25
shit,#7f5f00,23
lavender,#c79fef,23
royal purple,#4b006e,21
hot pink,#ff028d,21
beige,#e6daa6,21
mauve,#ae7181,19
colorblind,,19
racing green,#014600,18
olive green,#677a04,17
dark purple,#35063e,17
soul,,17
pantone,,17
sea,#3c9992,16
british racing green,#05480d,16
cobalt,#1e488f,16
seafoam green,#7af9ab,16
dark red,#840000,16
light blue,#95d0fc,16
octarine,,16
prussian blue,#004577,14
azure,#069af3,13
puce,#a57e52,13
lilac,#cea2fd,13
plaid,,13
sapphire,#2138ab,12
emerald green,#028f1e,12
blood red,#980002,12
electric blue,#0652ff,12
greenish,#40a368,12
coral,#fc5a50,12
neon green,#0cff0c,12
pale,#fff9d0,11
ocean,#017b92,11
mint,#9ffeb0,11
scarlet,#be0119,10
fuchsia,#ed0dd9,10
aquamarine,#04d8b2,10
burnt orange,#c04e01,10
penis,,10
customhex22-bada55,#bada55,10
foam green,#90fda9,9
viridian,#1e9167,9
bordeaux,#7b002c,9
plum,#580f41,9
sunset,,9
midnight,#03012d,8
cobalt blue,#030aa7,8
harambe,,8
don't have,,8
macaroni and cheese,#efb435,7
poo,#8f7303,7
vermillion,#f4320c,7
sienna,#a9561e,7
grass,#5cac2d,7
midnight blue,#020035,7
burnt sienna,#b04e0f,7
taupe,#b9a281,7
mustard,#ceb301,7
glitter,,7
ultraviolet,,7
ass,,7
customhex20-0000ff,#0000ff,7
tiffany blue,#7bf2da,6
shit brown,#7b5804,6
amber,#feb308,6
cerulean blue,#056eee,6
blurple,#5539cc,6
pastel pink,#ffbacd,6
aubergine,#3d0734,6
charcoal,#343837,6
baby pink,#ffb7ce,6
ocean blue,#03719c,6
hunter green,#0b4008,6
dark grey,#363737,6
deep purple,#36013f,6
mint green,#8fff9f,6
baby blue,#a2cffe,6
light green,#96f97b,6
space,,6
infrared,,6
death,,6
none,,6
skin,,6
customhex82-00ff00,#00ff00,6
ruby,#ca0147,5
mango,#ffa62b,5
marine,#042e60,5
pine,#2b5d34,5
ultramarine,#2000b1,5
poop,#7f5e00,5
vomit,#a2a415,5
wine,#80013f,5
cream,#ffffc2,5
kelly green,#02ab2e,5
grass green,#3f9b0b,5
light pink,#ffd1df,5
salmon,#ff796c,5
tan,#d1b26f,5
potato,#b79268,5
transparent,,5
fuschia,#ed0dd9,5
aqua marine,#2ee8bb,4
bronze,#a87900,4
eggshell,#ffffd4,4
neon pink,#fe019a,4
tangerine,#ff9408,4
sage,#87ae73,4
eggplant,#380835,4
slate,#516572,4
sea green,#53fca1,4
peach,#ffb07c,4
tits,,4
milk,,4
anal,,4
sanguine,#850505,4
yee,,4
sarcoline,#fadfae,4
vermilion,#E34234,4
pizza,,4
concrete,,4
blue blue,#2242c7,3
dodger blue,#3e82fc,3
ice,#d6fffa,3
apple,#6ecb3c,3
banana,#ffff7e,3
golden,#f5bf03,3
cherry,#cf0234,3
poo brown,#885f01,3
copper,#b66325,3
bright orange,#ff5b00,3
ice blue,#d7fffe,3
mahogany,#4a0100,3
jade,#1fa774,3
deep red,#9a0200,3
moss,#769958,3
grape,#6c3461,3
mustard yellow,#d2bd0a,3
pale pink,#ffcfdc,3
spring green,#a9f971,3
dark orange,#c65102,3
rose,#cf6275,3
sparkles,,3
burgandy,#610023,3
memes,,3
turqoise,#06c2ac,3
bob ross,,3
all of them,,3
glass,,3
drop table,,3
candy pink,#ff63e9,2
azul,#1d5dec,2
burple,#6832e3,2
carmine,#9d0216,2
lipstick,#d5174e,2
dandelion,#fedf08,2
orangered,#fe420f,2
piss yellow,#ddd618,2
leaf,#71aa34,2
diarrhea,#9f8303,2
